category,axis,count,mean,median,p05,p10,p25,p75,p90,p95,min,max,is_unreliable
kitchen_islands_and_trolleys,height_cm,19,90.47,90,78,78,85.5,90,93,101.9,78,146,true
kitchen_islands_and_trolleys,width_cm,19,61.97,50,32.7,37.8,43,74.5,88.4,127.5,30,141,true
kitchen_selves_and_selving_units,depth_cm,10,29,30,20,20,22.5,35,36,36,20,36,true
kitchen_selves_and_selving_units,height_cm,10,84.2,97,17.25,19.5,24,100,181.3,182.65,15,184,true
kitchen_selves_and_selving_units,width_cm,10,81.3,80,25.15,37.3,52.5,92,126.6,156.3,13,186,true
kitchen_taps_and_sinks,depth_cm,6,28.47,28.5,10.95,12.9,17.1,41.25,44,45,9,46,true
kitchen_taps_and_sinks,height_cm,6,11.03,9,5.7,6.4,8.1,14.25,17.7,18.55,5,19.4,true
kitchen_taps_and_sinks,width_cm,6,21.28,17.5,7.92,9.85,14.27,22,36.5,43.25,6,50,true
kitchenorganizers,depth_cm,32,32.45,28.5,10.55,12.1,16.5,50,50.9,54.57,8.5,56.5,false
kitchenorganizers,height_cm,32,14.58,11.5,5.4,5.4,5.4,16,18,42.47,5,65.6,false
kitchenorganizers,width_cm,32,31.64,32,13.38,17.3,24,36.55,39.75,53.98,10,102,false
kungshamn_system,depth_cm,20,85,85,85,85,85,85,85,85,85,85,false
kungshamn_system,height_cm,20,62.9,71,44,44,44,71,71,71,44,71,false
kungshamn_system,width_cm,20,188.2,237,67,67,67,237,286,286,67,286,false
laundry_baskets,depth_cm,5,49.2,55,37.8,38.6,41,55,56.8,57.4,37,58,true
laundry_baskets,height_cm,5,54.8,64,30.4,36.8,56,65,65,65,24,65,true
laundry_baskets,width_cm,5,32.4,37,22,22,22,38,41,42,22,43,true
lidhult_system,depth_cm,49,118.78,98,97,97,98,160,164,164,97,164,false
lidhult_system,height_cm,49,44.67,45,38,38,42,45,47,55,38,55,false
lidhult_system,width_cm,49,191.96,189,24,71,138,259,298,374,24,374,false
magazine_files,depth_cm,1,9,9,9,9,9,9,9,9,9,9,true
magazine_files,height_cm,1,78,78,78,78,78,78,78,78,78,78,true
magazine_files,width_cm,1,33,33,33,33,33,33,33,33,33,33,true
microwave,depth_cm,14,45.92,46.8,32,32,32.6,56.7,56.7,56.7,32,56.7,true
microwave,height_cm,14,42.05,39.7,39.3,39.3,39.32,45.5,45.5,45.5,39.3,45.5,true
microwave,width_cm,14,59.46,59.5,59.4,59.4,59.4,59.5,59.5,59.5,59.4,59.5,true
mirror,depth_cm,1,59,59,59,59,59,59,59,59,59,59,true
mirror,height_cm,1,182,182,182,182,182,182,182,182,182,182,true
mirror,width_cm,1,47,47,47,47,47,47,47,47,47,47,true
modular_kitchen,depth_cm,42,42.82,37,31,31,34.65,60.75,61,61,31,61,false
modular_kitchen,height_cm,42,66.12,75,40,40,40,90,90,90,15,139,false
modular_kitchen,width_cm,42,61.52,40,19.9,20,20,99,120,180,16,180,false
