room_category,normalized_category,raw_category,product_name,product_id,width_cm,depth_cm,height_cm,material,image_path,raw_dimension_text
Bedroom,bed,Bed Accessories,Bed Accessories,39248608,144,205,30,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/39248608.jpg,Length: 205 cm Width: 144 cm Footboard height: 30 cm Headboard height: 65 cm Free height under furniture: 20 cm Mattress length: 200 cm Mattress width: 140 cm
Bedroom,bed,Bed Accessories,Bed Accessories,19229045,140,200,70,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/19229045.jpg,Height: 70 cm Mattress length: 200 cm Mattress width: 140 cm
Bedroom,bed,Bed Accessories,Bed Accessories,29229021,140,200,70,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/29229021.jpg,Height: 70 cm Mattress length: 200 cm Mattress width: 140 cm
Bedroom,bed,Bed Accessories,Bed Accessories,39229105,140,200,80,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/39229105.jpg,Height: 80 cm Mattress length: 200 cm Mattress width: 140 cm
Bedroom,bed,Bed Accessories,Bed Accessories,89229080,140,200,80,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/89229080.jpg,Height: 80 cm Mattress length: 200 cm Mattress width: 140 cm
Bedroom,bed,Bed Accessories,Bed Accessories,09229022,160,200,70,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/09229022.jpg,Height: 70 cm Mattress length: 200 cm Mattress width: 160 cm
Bedroom,bed,Bed Accessories,Bed Accessories,59228690,160,200,70,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/59228690.jpg,Height: 70 cm Mattress length: 200 cm Mattress width: 160 cm
Bedroom,bed,Bed Accessories,Bed Accessories,99229046,160,200,70,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/99229046.jpg,Height: 70 cm Mattress length: 200 cm Mattress width: 160 cm
Bedroom,bed,Bed Accessories,Bed Accessories,99229013,180,200,70,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/99229013.jpg,Height: 70 cm Mattress length: 200 cm Mattress width: 180 cm
Bedroom,bed,Bed Accessories,Bed Accessories,19229026,180,200,70,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/19229026.jpg,Height: 70 cm Mattress length: 200 cm Mattress width: 180 cm
